AIGC: {"Label":"1","ContentProducer":"001191110108MA01KP2T5U00000","ProduceID":"616faf2bd0f01bbe20a310c545ee2b80","ReservedCode1":"","ContentPropagator":"001191110108MA01KP2T5U00000","PropagateID":"616faf2bd0f01bbe20a310c545ee2b80","ReservedCode2":""}

userId,items
0,9 92
1,62 68
2,8 19 34 37 39 40 83 89 92 93
3,18 51 80 88
4,29 41 52 62 70
5,49 55 68 90
6,25 43 58
7,25 29 47 85
8,2 29 52 53 58 62 85 95
9,7 32 49 87
10,2 40
11,13 18 19 23 27 30 32 38 48 50 66 69 79 81 90
12,16 17 27 31 35 50 64 94
13,93
14,29 52 62 63 72 76 96
15,1 46
16,29 51 54 85 90
17,10 17 20 22 46 55 68 90 94
18,11 28 38 39 44 83
19,32 90 94 98
20,22 75 77 94
21,2 29 53 74 87
22,22 30 32 51 62 68 69 74 75 88 98
23,10 13 18 23 27 30 32 48 49 50 55 64 65
24,30 52 59 63 69 72 77 90 96
25,33 47 71
26,4 7 22 23 24 36 54 68 73 88 94
27,18
28,2 12 49 81 82 89 92
29,23 32 46 90 94
